Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20
Ivory Coast,7.54,-5.5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,9,9,14,14,25,73,80,96,101,101,165,168,179,190,194,218,245,261,323,349,384,444,444,533,574,626,638,638,654,688,801,847,847,916,952,1004,1077,1077,1150,1164,1183,1238,1275,1333,1362,1398,1432,1464,1516,1571,1602,1667,1700,1730,1857,1912,1971,2017,2061,2109,2119,2153,2231,2301,2341,2366,2376,2423,2477,2556,2641,2750,2799,2833,2951,3024,3110,3262,3431,3557,3739,3881,3995,4181,4404,4684,4848,5084,5439,5679,6063,6444,6874,7276,7492,7677,7904,8164,8334,8739,8944,9101,9214,9499,9702,9992,10244,10462,10772,10966,11194,11504,11750,12052,12443,12766,12872,13037,13403,13554,13696,13912
Djibouti,11.8251,42.5903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,11,11,12,14,18,18,30,33,40,49,50,59,90,90,135,135,150,187,214,298,363,435,591,732,732,846,846,945,974,986,999,1008,1023,1035,1072,1077,1089,1097,1112,1112,1116,1120,1124,1133,1135,1189,1210,1227,1256,1268,1284,1309,1331,1401,1518,1618,1828,2047,2270,2270,2270,2468,2468,2697,2914,2914,3194,3354,3569,3779,3935,4054,4123,4169,4207,4278,4331,4373,4398,4441,4449,4465,4501,4539,4545,4557,4565,4565,4582,4599,4617,4630,4635,4643,4643,4643,4656,4682,4704,4715,4736,4736,4792,4822,4878,4889,4955,4968,4968,4972,4977,4979,4985,4993,5003,5003
Egypt,26.820553000000004,30.802498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,15,15,49,55,59,60,67,80,109,110,150,196,196,256,285,294,327,366,402,456,495,536,576,609,656,710,779,865,985,1070,1173,1322,1450,1560,1699,1794,1939,2065,2190,2350,2505,2673,2844,3032,3144,3333,3490,3659,3891,4092,4319,4534,4782,5042,5268,5537,5895,6193,6465,6813,7201,7588,7981,8476,8964,9400,9746,10093,10431,10829,11228,11719,12229,12764,13484,14229,15003,15786,16513,17265,17967,18756,19666,20793,22082,23449,24985,26384,27536,28615,29767,31115,32612,34079,35444,36829,38284,39726,41303,42980,44598,46289,47856,49219,50437,52211,53758,55233,56809,58141,59561,61130,62755,63923,65188,66754,68311,69814,71299,72711,74035,75253,76222,77279,78304,79254,80235,81158,82070,83001,83930,84843,85771,86474,87172
Equatorial Guinea,1.6508,10.2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,6,6,6,9,9,9,12,12,12,12,12,12,15,15,16,16,16,16,16,18,18,18,18,21,21,41,51,51,79,79,79,79,83,84,84,214,258,258,258,315,315,315,315,315,315,315,315,439,439,439,439,439,439,439,522,583,594,594,594,719,825,890,903,960,960,960,1043,1043,1043,1043,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1664,1664,1664,1664,1664,1664,1664,1664,1664,2001,2001,2001,2001,2001,2001,2001,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071
Eritrea,15.1794,39.7823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,6,12,12,15,15,22,22,29,29,31,31,33,33,34,34,34,34,34,35,35,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,41,41,65,96,109,121,131,142,142,143,143,143,143,144,144,167,191,191,191,203,203,215,215,215,215,215,215,215,232,232,232,232,232,232,232,251,251,251
Eswatini,-26.5225,31.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,6,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,14,15,15,15,16,16,22,22,24,31,31,31,36,56,59,65,71,91,100,106,108,112,116,119,123,153,159,163,172,175,184,187,187,190,202,203,205,208,217,220,225,238,250,256,261,272,279,279,283,285,293,294,295,300,305,322,333,340,371,398,449,472,486,490,506,520,563,586,623,627,635,643,674,690,706,728,745,781,795,812,840,873,909,954,988,1011,1056,1138,1213,1257,1311,1351,1389,1434,1489,1552,1619,1729
Ethiopia,9.145,40.4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,9,9,11,11,12,12,12,16,16,21,23,26,29,29,35,38,43,44,52,55,56,65,69,71,74,82,85,92,96,105,108,111,114,116,116,117,122,123,124,126,130,131,133,133,135,140,145,162,191,194,210,239,250,261,263,272,287,306,317,352,365,389,399,433,494,582,655,701,731,831,968,1063,1172,1257,1344,1486,1636,1805,1934,2020,2156,2336,2506,2670,2915,3166,3345,3521,3630,3759,3954,4070,4469,4532,4663,4848,5034,5175,5425,5570,5689,5846,5846,5846,5846,5846,5846,5846,5846,5846,6774,6973,7120,7402,7560,7766,7969,8181,8475,8803,9147
Gabon,-0.8037,11.6094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,5,5,6,6,7,7,7,7,7,16,18,21,21,21,21,24,30,34,44,44,46,49,57,57,80,80,108,108,109,120,156,166,167,172,176,176,211,238,276,276,276,335,335,367,397,397,504,620,661,661,802,863,1004,1104,1209,1320,1320,1432,1502,1567,1567,1728,1934,1934,2135,2238,2319,2431,2613,2655,2655,2655,2803,2902,2955,3101,3101,3101,3101,3247,3375,3463,3463,3463,3463,4033,4114,4229,4340,4428,4428,4428,4739,4849,4956,5087,5209,5209,5209,5394,5394,5513,5513,5620,5620,5620,5743,5743,5871,5871,5942,5942,5942,6026,6026,6121,6121,6315,6315
Gambia,13.4432,-15.3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,12,17,17,17,17,17,18,20,20,20,22,22,23,23,23,23,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,28,28,28,28,28,28,28,30,34,34,36,36,37,37,41,42,42,43,43,44,45,47,49,49,55,55,57,57,61,61,61,63,64,64,64,64,64,64,78,78,93
Ghana,7.9465,-1.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,11,16,19,23,27,53,93,132,137,141,152,152,161,195,204,205,205,214,214,287,313,378,378,408,566,566,636,636,641,641,834,1042,1042,1042,1154,1154,1279,1279,1550,1550,1671,1671,2074,2074,2169,2169,2719,2719,3091,3091,4012,4263,4263,4700,5127,5408,5530,5638,5735,5735,5735,6096,6269,6269,6486,6617,6683,6808,7117,7303,7303,7616,7768,8070,8070,8297,8548,8885,9168,9462,9638,9910,10201,10201,10358,10856,11118,11964,11964,12193,12590,12929,13203,13717,14154,14154,14568,15013,15473,15834,16431,16742,17351,17741,18134,18134,19388,19388,20085,21077,21968,22822,23463,23834,24248,24518,24988,24988,25430,26125,26572,27060
