Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20
Guinea,9.9456,-9.6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,8,8,16,22,22,30,52,73,111,121,128,144,164,194,212,250,250,319,363,404,438,477,518,579,622,688,761,862,954,996,996,1163,1240,1351,1495,1537,1586,1586,1710,1811,1856,1927,2009,2042,2146,2146,2298,2374,2473,2473,2658,2658,2796,2863,2863,3067,3067,3176,3275,3275,3275,3275,3553,3656,3706,3706,3844,3886,3933,3991,4060,4117,4117,4216,4258,4258,4372,4426,4484,4532,4572,4639,4668,4841,4904,4960,4988,4988,5040,5174,5174,5260,5291,5342,5351,5391,5404,5450,5521,5570,5610,5610,5636,5697,5881,5969,6044,6141,6141,6200,6276,6359,6430,6491
Kenya,-0.0236,37.9062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,7,7,15,16,25,28,31,31,38,42,50,59,81,110,122,126,142,158,172,179,184,189,191,197,208,216,225,234,246,262,270,281,296,303,320,336,343,355,363,374,384,396,411,435,465,490,535,582,607,621,649,672,700,715,737,758,781,830,887,912,963,1029,1109,1161,1192,1214,1286,1348,1471,1618,1745,1888,1962,2021,2093,2216,2340,2474,2600,2767,2872,2989,3094,3215,3305,3457,3594,3727,3860,4044,4257,4374,4478,4738,4797,4952,5206,5384,5533,5811,6070,6190,6366,6673,6941,7188,7577,7886,8067,8250,8528,8975,9448,9726,10105,10294,10791,11252,11673,12062,12750
Liberia,6.4280550000000005,-9.429499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,6,6,7,10,13,14,14,31,31,37,48,50,59,59,59,59,76,76,91,99,101,101,101,117,120,124,124,141,141,141,152,154,158,166,170,178,189,199,199,199,211,211,213,215,219,223,226,229,233,238,240,249,255,265,265,266,266,269,273,280,288,296,311,316,321,334,345,359,370,383,397,410,421,446,458,498,509,516,542,581,601,626,650,652,662,681,684,729,768,770,780,804,819,833,869,874,891,917,926,957,963,998,1010,1024,1024,1056,1070,1085,1088
Madagascar,-18.766947,46.869107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,17,19,23,26,26,39,43,57,57,59,70,70,72,82,88,93,93,93,102,106,106,108,110,111,117,120,121,121,121,121,121,122,123,124,128,128,128,128,132,135,149,149,151,158,193,193,193,193,186,186,212,230,238,283,304,322,326,371,405,448,488,527,542,586,612,656,698,758,771,826,845,908,957,975,1026,1052,1094,1138,1162,1203,1240,1252,1272,1290,1317,1378,1403,1443,1503,1596,1640,1724,1787,1829,1922,2005,2078,2138,2214,2303,2403,2512,2728,2941,3250,3472,3573,3782,4143,4578,4867,5080,5343,5605,6089,6467,6849
Mauritania,21.0079,-10.9408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,15,20,29,40,62,81,131,141,173,200,227,237,262,268,292,346,423,483,530,588,668,745,784,883,947,1049,1104,1162,1283,1439,1572,1682,1783,1887,2057,2223,2424,2621,2813,2984,3121,3292,3519,3739,3907,4025,4149,4237,4363,4472,4606,4705,4827,4879,4948,5024,5087,5126,5203,5275,5355,5446,5518,5564,5659,5710,5813
Mauritius,-20.348404,57.552152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,14,28,36,42,48,81,94,102,107,128,143,161,169,186,196,227,244,268,273,314,318,319,324,324,324,324,324,324,325,328,328,328,329,331,331,331,332,334,334,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,334,334,334,334,334,335,335,335,335,335,335,335,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,340,340,341,341,341,341,341,341,341,341,341,341,341,341,342,342,342,342,342,342,342,342,342,343,343,343,343
Morocco,31.7917,-7.0926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,5,6,7,17,28,29,38,49,63,77,96,115,143,170,225,275,345,402,479,556,617,654,708,791,919,1021,1120,1184,1275,1374,1448,1545,1661,1763,1888,2024,2283,2564,2685,2855,3046,3209,3446,3568,3758,3897,4065,4120,4252,4321,4423,4569,4729,4903,5053,5219,5408,5548,5711,5910,6063,6281,6418,6512,6607,6652,6741,6870,6952,7023,7133,7211,7332,7406,7433,7532,7577,7601,7643,7714,7780,7807,7833,7866,7922,8003,8071,8151,8224,8302,8437,8508,8537,8610,8692,8793,8885,8931,8997,9074,9613,9839,9977,10172,10344,10907,11338,11633,11877,12052,12290,12533,12636,12969,13288,13822,14215,14379,14607,14771,15079,15328,15542,15745,15936,16097,16262,16545,16726,17015
Namibia,-22.9576,18.4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,7,7,8,8,8,11,11,11,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,19,20,21,21,21,22,22,23,23,24,25,25,25,25,25,29,29,31,31,31,31,31,32,32,32,34,36,39,45,46,55,63,72,76,102,121,136,183,196,205,285,293,350,375,412,485,539,593,615,668,668,785,861,864,960,1032,1078,1203
Niger,17.607789,8.081666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,10,10,10,18,27,27,74,98,120,144,184,253,278,342,410,438,491,529,529,570,584,584,627,639,648,648,657,662,671,681,684,696,701,709,713,719,728,736,750,755,763,770,781,795,815,821,832,854,860,876,885,889,904,909,914,920,924,937,943,945,951,952,952,955,955,956,958,958,960,961,963,966,970,973,973,974,974,974,978,980,980,980,1016,1020,1020,1020,1035,1036,1046,1051,1051,1056,1059,1062,1074,1075,1075,1075,1081,1082,1082,1088,1093,1094,1097,1097,1099,1099,1099,1099,1099,1100,1102,1102,1104
Nigeria,9.082,8.6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,8,8,12,22,30,40,44,51,65,70,89,111,131,135,174,184,210,214,232,238,254,276,288,305,318,323,343,373,407,442,493,542,627,665,665,873,981,1095,1182,1273,1337,1532,1728,1932,2170,2388,2558,2802,2950,3145,3526,3912,4151,4399,4641,4787,4971,5162,5450,5621,5959,6175,6401,6677,7016,7261,7526,7839,8068,8344,8733,8915,9302,9855,10162,10578,10819,11166,11516,11844,12233,12486,12801,13464,13873,14554,15181,15682,16085,16658,17148,17735,18480,19147,19808,20244,20919,21371,22020,22614,23298,24077,24567,25133,25694,26484,27110,27564,28167,28711,29286,29789,30249,30748,31323,31987,32558,33153,33616,34259,34854,35454,36107
Rwanda,-1.9403,29.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,8,8,17,17,19,36,40,41,50,54,60,70,70,75,82,84,89,102,104,105,105,110,110,118,120,126,127,134,136,138,143,144,147,147,150,153,154,176,183,191,207,212,225,243,249,255,259,261,261,268,271,273,280,284,285,286,287,287,287,289,292,297,308,314,320,321,325,327,336,339,346,349,355,359,370,377,384,397,410,420,431,439,451,463,476,494,510,541,582,612,636,639,646,661,702,728,787,798,830,850,858,878,900,1001,1025,1042,1063,1081,1092,1105,1113,1172,1194,1210,1252,1299,1337,1378,1416,1435,1473,1485,1539
Senegal,14.4974,-14.4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,4,4,4,4,4,4,10,10,24,24,26,31,31,38,47,67,79,86,99,105,119,130,142,162,175,190,195,207,219,222,226,237,244,250,265,278,280,291,299,314,335,342,350,367,377,412,442,479,545,614,671,736,823,882,933,1024,1115,1182,1271,1329,1433,1492,1551,1634,1709,1886,1995,2105,2189,2310,2429,2480,2544,2617,2714,2812,2909,2976,3047,3130,3161,3253,3348,3429,3535,3645,3739,3836,3932,4021,4155,4249,4328,4427,4516,4640,4759,4851,4996,5090,5173,5247,5369,5475,5639,5783,5888,5970,6034,6129,6233,6354,6459,6586,6698,6793,6925,7054,7164,7272,7400,7478,7547,7657,7784,7882,8014,8135,8198,8243,8369,8481,8544,8669
Seychelles,-4.6796,55.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,6,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,70,77,81,81,81,81,81,81,81,81,91,94,100,100,100,100,100,100,108,108,108
Somalia,5.152149,46.199616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,5,5,5,7,7,7,7,8,12,12,21,21,25,60,60,80,80,116,135,164,237,286,286,328,328,390,436,480,528,582,601,601,671,722,756,835,873,928,928,997,1054,1089,1170,1219,1284,1284,1357,1421,1455,1502,1573,1594,1594,1594,1594,1689,1711,1731,1828,1828,1916,1976,2023,2089,2146,2204,2204,2289,2334,2368,2416,2452,2513,2513,2579,2618,2642,2658,2696,2719,2719,2755,2779,2812,2812,2835,2878,2878,2878,2894,2904,2924,2924,2944,2944,2961,2997,3006,3015,3028,3038,3038,3051,3059,3072,3076,3083,3106,3106,3111
South Africa,-30.5595,22.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,554,709,927,1170,1187,1280,1326,1353,1380,1462,1505,1585,1655,1686,1749,1845,1934,2003,2028,2173,2272,2415,2506,2605,2783,3034,3158,3300,3465,3635,3953,4220,4361,4546,4793,4996,5350,5647,5951,6336,6783,7220,7572,7808,8232,8895,9420,10015,10652,11350,12074,12739,13524,14355,15515,16433,17200,18003,19137,20125,21343,22583,23615,24264,25937,27403,29240,30967,32683,34357,35812,37525,40792,43434,45973,48285,50879,52991,55421,58568,61927,65736,70038,73533,76334,80412,83890,87715,92681,97302,101590,106108,111796,118375,124590,131800,138134,144264,151209,159333,168061,177124,187977,196750,205721,215855,224665,238339,250687,264184,276242,287796,298292,311049,324221,337594,350879
Sudan,12.8628,30.2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,5,6,6,7,7,8,10,10,12,12,14,14,15,17,19,19,29,32,32,32,33,66,66,107,107,140,174,174,213,237,275,318,375,442,533,592,592,678,778,852,930,1111,1164,1365,1526,1661,1818,1818,1964,2289,2289,2591,2728,2728,3138,3378,3628,3820,3976,3976,4346,4346,4521,4800,5026,5173,5310,5499,5714,5865,6081,6081,6242,6427,6582,6730,6879,7007,7220,7435,7740,8020,8020,8316,8580,8580,8698,8889,8889,8984,9257,9257,9257,9257,9257,9573,9573,9663,9767,9767,9894,9997,10084,10158,10204,10250,10250,10316,10417,10527,10527,10527,10682
Tanzania,-6.369028,34.888822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,6,6,12,12,12,12,13,13,14,14,19,19,20,20,20,20,22,24,24,25,25,32,32,32,49,53,88,94,147,147,170,254,254,284,284,299,299,299,299,299,480,480,480,480,480,480,480,480,480,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
Togo,8.6195,0.8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,16,16,18,20,23,23,25,25,25,30,34,36,39,40,41,44,58,65,70,73,76,76,76,77,77,81,81,83,84,84,84,86,88,88,90,96,98,98,99,109,116,123,123,124,126,128,128,135,145,153,174,181,199,219,238,263,298,301,330,338,340,354,363,373,381,386,391,395,422,428,433,442,443,445,452,465,485,487,495,497,501,522,524,525,530,530,531,537,544,547,555,561,569,569,576,583,588,591,615,642,643,650,661,667,671,676,680,680,689,695,704,710,710,720,721,731,740,749,766,774
Tunisia,33.886917,9.537499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,7,7,16,18,18,20,24,29,39,54,60,75,89,114,173,197,227,278,312,312,394,423,455,495,553,574,596,623,628,643,671,685,707,726,747,780,822,864,864,879,884,884,909,918,922,939,949,967,975,980,994,998,1009,1013,1018,1022,1025,1026,1030,1032,1032,1032,1032,1032,1032,1035,1037,1037,1043,1044,1045,1046,1048,1048,1051,1051,1051,1051,1068,1071,1076,1077,1084,1086,1087,1087,1087,1087,1087,1087,1087,1087,1087,1093,1094,1096,1110,1125,1128,1132,1146,1156,1157,1159,1159,1160,1162,1164,1168,1169,1172,1174,1175,1178,1181,1186,1188,1199,1205,1221,1231,1240,1245,1263,1302,1306,1319,1327,1336,1348
Uganda,1.373333,32.290275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,14,14,23,30,33,33,44,44,45,48,48,52,52,52,53,53,53,53,54,54,55,55,55,56,55,55,56,61,63,74,75,75,79,79,79,81,83,85,88,89,97,98,100,101,101,116,121,121,129,139,160,203,227,227,248,260,264,160,175,198,198,222,253,281,317,329,413,417,457,489,507,522,557,593,616,646,657,665,679,686,694,696,705,724,732,741,755,763,770,774,797,805,821,833,848,859,870,889,893,902,911,927,939,953,971,977,1000,1006,1013,1025,1029,1040,1043,1051,1056,1062
Zambia,-13.133897,27.849332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,12,16,22,28,29,35,35,36,39,39,39,39,39,39,39,39,40,40,43,45,45,48,48,52,57,61,65,70,74,76,84,84,88,88,95,97,106,109,119,124,137,138,146,153,167,252,267,267,441,446,654,654,679,753,761,772,832,866,920,920,920,920,920,1057,1057,1057,1057,1057,1089,1089,1089,1089,1089,1089,1089,1200,1200,1200,1200,1321,1357,1358,1382,1405,1412,1416,1430,1430,1430,1430,1477,1489,1497,1531,1531,1557,1568,1594,1632,1632,1632,1632,1632,1632,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,2810,2980
Zimbabwe,-19.015438,29.154857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,5,7,7,7,8,8,9,9,9,9,10,11,11,11,13,14,14,17,17,23,23,24,25,25,25,28,28,28,29,31,31,32,32,32,40,40,34,34,34,34,34,34,34,35,36,36,36,37,37,42,42,44,46,46,48,51,51,56,56,56,56,132,149,149,174,178,203,206,222,237,265,279,282,287,314,320,332,343,356,383,387,391,401,463,479,479,489,512,525,530,551,561,567,567,574,591,605,617,625,698,716,734,787,885,885,942,982,985,1034,1064,1089,1362,1420,1478
Mozambique,-18.665695,35.529562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,7,8,8,8,8,10,10,10,10,10,10,10,17,17,20,20,21,21,28,29,31,34,35,39,39,39,41,46,65,70,76,76,76,76,76,79,79,80,80,81,81,81,82,87,91,103,104,104,115,119,129,137,145,146,156,162,164,168,194,209,213,227,233,234,244,254,254,307,316,352,354,409,424,433,453,472,489,509,553,583,609,638,651,662,668,688,733,737,757,762,788,816,839,859,883,889,903,918,939,969,987,1012,1040,1071,1092,1111,1135,1157,1219,1268,1330,1383,1402,1435
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,8,8,10,10,11,11,18,18,19,20,21,24,24,24,25,26,35,48,49,49,49,51,51,51,59,60,61,61,61,61,61,61,61,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,65,65,65,68,69,71,72,75,75,75,77,99,105,118,130,156,168,182,196,209,239,256,256,332,359,378,393,409,418,454,467,484,500,510,520,544,571,595,639,670,698,713,727,762,802,824,874,891,918,989,1046,1117,1182,1268,1342,1342,1389,1433,1512,1563,1589,1652,1704,1791
Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,8,9,9,15,18,18,18,33,33,36,36,38,38,38,38,43,43,43,46,50,50,50,50,50,52,52,53,73,73,205,205,257,257,257,413,413,475,564,594,641,726,761,820,836,913,913,969,990,1032,1038,1089,1109,1114,1114,1114,1178,1178,1195,1195,1256,1256,1256,1339,1339,1339,1339,1368,1368,1368,1389,1389,1389,1389,1460,1460,1460,1492,1492,1492,1492,1541,1541,1541,1556,1556,1556,1556,1614,1614,1614,1654,1654,1654,1654,1765,1765,1765,1790,1790,1790,1790,1842,1842,1842,1842,1842,1842,1902,1927,1949
Mali,17.570692,-3.996166000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,18,18,25,28,31,36,39,41,45,47,56,59,74,87,87,105,123,144,148,171,171,216,224,246,258,293,309,325,370,389,408,424,482,490,508,544,563,580,612,631,650,668,692,704,712,730,758,779,806,835,860,874,901,931,947,969,1015,1030,1059,1077,1116,1194,1226,1250,1265,1315,1351,1386,1461,1485,1523,1533,1547,1586,1667,1722,1752,1776,1809,1860,1885,1890,1906,1923,1933,1933,1961,1978,2005,2039,2060,2118,2147,2173,2181,2202,2260,2285,2303,2330,2331,2348,2358,2370,2404,2406,2411,2412,2423,2433,2440,2467,2472
Botswana,-22.3285,24.6849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,6,6,6,6,13,13,13,13,13,13,13,15,15,15,20,20,20,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,29,30,30,35,35,35,35,35,35,35,35,38,40,40,40,40,40,40,42,42,48,48,48,60,60,60,60,79,79,89,89,89,89,89,92,92,92,92,92,175,227,227,227,277,277,277,314,314,314,314,314,314,399,399,399,399,522,522,522
Burundi,-3.3731,29.9189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,42,42,42,42,42,42,42,42,42,42,42,42,63,63,63,63,63,63,63,83,83,83,83,83,85,85,85,85,85,104,104,104,104,104,144,144,144,144,144,144,170,170,170,170,170,170,191,191,191,191,191,191,191,191,191,191,269,269,269,303,310,310
Sierra Leone,8.460555000000001,-11.779889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,6,6,7,7,8,8,10,10,11,13,15,26,30,35,43,50,61,64,82,82,93,93,104,104,124,136,155,166,178,199,225,231,257,291,307,338,338,387,408,447,462,505,519,534,570,585,606,621,707,735,754,782,812,829,852,861,865,896,909,914,929,946,969,1001,1025,1062,1085,1103,1132,1169,1176,1225,1249,1272,1298,1309,1327,1340,1347,1354,1354,1394,1410,1427,1450,1462,1498,1518,1524,1533,1542,1547,1572,1584,1598,1613,1618,1635,1642,1651,1668,1678,1688,1701
Malawi,-13.2543,34.3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,8,8,8,9,12,13,16,16,16,16,17,17,17,17,18,23,33,33,33,34,36,36,36,37,37,38,39,41,41,43,43,43,56,56,57,57,63,63,63,65,70,70,70,71,72,82,82,83,101,101,101,203,273,279,284,336,358,369,393,409,409,438,443,455,455,481,481,529,547,555,564,572,592,620,620,730,749,803,941,960,1005,1038,1146,1152,1224,1265,1342,1498,1613,1613,1742,1818,1864,1942,2069,2261,2364,2430,2497,2614,2712,2805,2810
South Sudan,6.877000000000002,31.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,34,34,35,45,45,46,46,52,58,74,120,120,120,156,194,203,203,236,236,290,290,290,290,481,563,655,655,806,806,994,994,994,994,994,994,994,994,994,994,994,1317,1604,1604,1604,1670,1670,1693,1693,1693,1776,1813,1830,1864,1882,1892,1916,1930,1942,1942,1942,1942,1989,1989,2007,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2148,2148,2153,2171,2191,2191
