Country/Region,Subregion,Population-2020,Lat,Long,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020
Comoros,Eastern,"869,601",-11.652,43.3726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,8,8,8,11,11,11,17,17,17,11,11,11
Congo,Central,"5,518,087",-4.0383,21.7587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,19,19,19,19,19,22,41,41,45,45,49,49,49,60,60,70,70,74,74,117,117,143,143,143,143,186,186,186,200,200,200,207,209,220,220,229,229,236,236,236,264,274,274,287,287,333,333,333,391,391,391,391
Cote d'ivoire,Western,"26,378,274",7.54,-5.5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,9,9,14,14,25,73,73,80,96,101,140,140,168,179,190,194,218,245,261,323,349,384,444,480,533,574,626,638,654,688,742,801,847,879,952,952,1004,1004,1111,1111,1150,1183,1238,1275,1333,1362,1432,1432,1464,1516,1571,1667,1667,1700,1730,1857,1912,1971,2017,2061,2109
Djibouti,Eastern,"988,000",11.8251,42.5903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,11,11,12,14,15,19,30,30,41,41,51,51,90,121,90,135,135,187,214,298,363,363,435,591,732,732,846,846,974,986,999,1008,1023,1035,1072,1077,1089,1097,1112,1112,1116,1116,1120,1124,1135,1189,1189,1210,1256,1256,1268,1309,1309,1331,1401
DRC,Central,"89,561,403",-4.0383,21.7587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,14,18,23,30,36,45,48,48,54,58,65,81,98,109,123,134,148,154,161,180,180,180,180,223,234,235,241,254,267,287,307,327,332,350,359,377,394,416,442,459,471,491,500,572,604,674,682,705,797,863,897,937,991,1024,1102,1169,1169,1299,1370,1455,1455
Egypt,Northern,"102,334,404",26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,15,15,49,55,59,60,67,80,109,110,150,196,196,256,285,294,327,366,402,402,456,495,536,576,609,656,710,779,865,985,1170,1173,1322,1450,1560,1699,1794,1939,2065,2190,2350,2505,2673,2844,3032,3144,3333,3659,3659,3891,4319,4319,4782,4782,5042,5268,5537,5895,6193,6813,6813,7201,7588,7981,8964,8964,9400,9746,10093,10431,10829,11228,11719,12229
Equatorial Guinea,Central,"1,402,985",1.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,6,6,6,9,9,9,9,11,13,13,14,14,15,15,15,16,16,16,16,16,18,18,18,21,21,21,41,51,51,79,79,79,79,84,84,84,258,258,258,258,315,315,315,315,315,315,315,439,439,439,439,439,439,439,439,522,522,522,522,522
Eritrea,Eastern,"3,546,421",15.1794,39.7823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,6,6,6,12,15,15,18,22,22,29,29,31,31,33,33,34,34,34,34,35,35,35,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Eswatini,Southern,"1,160,164",-26.5225,31.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,5,5,8,8,8,9,9,9,9,9,9,9,9,10,10,12,12,14,14,14,15,15,16,16,19,22,24,24,31,32,36,56,59,65,71,91,100,100,108,108,116,116,119,123,153,163,163,172,184,184,187,187,190,202,203
Ethiopia,Eastern,"114,963,588",9.145,40.4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,6,9,9,11,11,12,12,12,16,16,16,23,25,29,29,35,38,43,44,52,52,55,56,69,71,74,82,82,85,92,105,108,111,111,116,116,117,122,123,124,126,130,131,133,133,135,140,140,145,187,194,210,239,250,261,261,263,287,287,306,352
Gabon,Central,"2,225,734",-0.8037,11.6094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,5,5,6,6,7,7,7,7,7,16,18,18,21,0,21,24,30,30,34,44,46,49,57,75,80,87,95,108,109,109,120,166,166,169,176,176,211,211,238,276,276,308,335,367,367,397,439,504,661,661,661,802,863,1004,1104,1209,1320,1320
Gambia,Western,"2,416,668",13.4432,-15.3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,12,12,17,17,17,17,17,18,20,20,20,22,23,23,23,23,23,23
Ghana,Western,"31,072,940",7.9465,-1.0232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,7,11,16,19,23,27,53,68,105,136,137,141,152,152,195,195,204,205,214,214,287,287,313,378,408,408,566,566,636,641,641,834,834,1042,1042,1154,1154,1279,1279,1550,1550,1550,1671,2074,2074,2169,2169,2719,2719,2719,3091,3091,4263,4263,4700,5127,5127,5408,5530,5638,5735,5735
Guinea,Western,"13,132,795",9.9456,-9.6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,5,8,8,8,16,16,22,22,30,52,52,111,128,144,164,194,212,250,250,363,363,404,438,477,518,579,622,761,761,862,996,996,1163,1163,1240,1351,1495,1537,1586,1710,1710,1811,1856,1927,2042,2042,2146,2213,2298,2374,2473,2531,2658,2658
Guinea-Bissau,Western,"1,968,001",11.8037,-15.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,8,9,9,15,18,18,18,33,33,36,38,39,39,40,43,46,50,50,50,50,50,50,50,50,52,53,73,73,77,205,205,257,260,292,292,292,508,508,641,642,642,761,820,836,913,913,913,990
Kenya,Eastern,"53,771,296",-0.0236,37.9062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,7,7,7,15,16,25,25,31,31,38,38,50,59,81,110,122,126,142,158,172,172,179,184,191,197,208,216,216,225,234,262,270,281,281,303,320,336,343,343,363,374,384,396,411,435,465,490,490,535,607,621,649,672,700,715,715,737,781,781,830,912
Lesotho,Southern,"2,142,249",-29.6232,28.2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
