County Totals:,,
Kajiado,,2
Kakamega,,1
Kilifi,,9
Kitui,,2
Mandera,,6
Mombasa,,36
Nairobi,,163
Nakuru,,2
Siaya,,2
Uasin Gishu,,1
Kwale,,1
,,
,,
Age Totals:,,
0 to 14,,5
15 to 29,,58
30 to 59,,138
60 and above,,15
